price_source_id,rms_index,rms_type,name,unit,min_price,avg_price,max_price,region
00000000-0000-0000-0000-000000000001,"072","ETO","elektromonterzy gr.II","r-g",52,62,72,Poland
00000000-0000-0000-0000-000000000001,"1020100","ETO","Gaz propanowo-butanowy płynny","kg",3.12,3.12,3.12,Poland
00000000-0000-0000-0000-000000000001,"00000","ETO","środek transportu","m-g",75,88,105,Poland
00000000-0000-0000-0000-000000000001,"1100000","ETO","Bednarka walcowana na gorąco 20-70/1,5 - 5 mm","kg",7.56,9.69,11.82,Poland
00000000-0000-0000-0000-000000000001,"1100399","ETO","kształtowniki walcowane - dwuteowniki","kg",4.2,4.95,5.8,Poland
00000000-0000-0000-0000-000000000001,"1100610","ETO","Kształtowniki stalowe walcowane na gorąco, kątowniki nierównoramienne 30x20x3-200x100x12 mm","kg",3,4.75,6.5,Poland
00000000-0000-0000-0000-000000000001,"1101311","ETO","Szyna kolejowa normalnotorowa 49E1 (S49)","t",3605.5,3605.5,3605.5,Poland
00000000-0000-0000-0000-000000000001,"1110199","ETO","Blachy stalowe grube i uniwersalne grub. 3,0-60,0 mm, walcowane na gorąco","kg",4.54,12.3,20.06,Poland
00000000-0000-0000-0000-000000000001,"11111","ETO","Koparko-spycharka lub koparko-ładowarka 0,15 (1)","m-g",77.88,114.53,138,Poland
00000000-0000-0000-0000-000000000001,"11131","ETO","Koparka jednonaczyniowa kołowa 0,25 m3 (1)","m-g",82.34,130.04,145,Poland
00000000-0000-0000-0000-000000000001,"11162","ETO","Koparka jednonaczyniowa g¥sien. 0,40 m3(1)","m-g",87,129.88,146.87,Poland
00000000-0000-0000-0000-000000000001,"11151","ETO","Koparka samochodowa 0,25 m3 (1)","m-g",82.5,109.54,119,Poland
00000000-0000-0000-0000-000000000001,"11163","ETO","Koparka jednonaczyniowa g¥sien. 0,60 m3(1)","m-g",97.5,148,175,Poland
00000000-0000-0000-0000-000000000001,"11166","ETO","Koparka jednonaczyniowa g¥sien. 1,20 m3(1)","m-g",127.5,189.18,232.5,Poland
00000000-0000-0000-0000-000000000001,"11161","ETO","Koparka jednonaczyniowa g¥sien. 0,25 m3(1)","m-g",77.5,112.81,125,Poland
00000000-0000-0000-0000-000000000001,"11133","ETO","Koparka jednonaczyniowa kołowa 0,60 m3 (1)","m-g",105,143.84,178.52,Poland
00000000-0000-0000-0000-000000000001,"11165","ETO","Koparka jednonaczyniowa g¥sien. 1,00 m3(1)","m-g",105,157.74,172.5,Poland
00000000-0000-0000-0000-000000000001,"11169","ETO","Koparka jednonaczyniowa g¥sien. 2,50 m3(1)","m-g",182.5,249.73,274.32,Poland
00000000-0000-0000-0000-000000000001,"11412","ETO","adowarka jednonaczyn. kołowa 1,25 m3 (1)","m-g",89.1,134.52,167.5,Poland
00000000-0000-0000-0000-000000000001,"11336","ETO","Spycharka gasien. 184-221kW [250-300KM](1)","m-g",131.88,279.36,320.63,Poland
00000000-0000-0000-0000-000000000001,"11337","ETO","Spycharka gasien. 283-294kW [385-400KM](1)","m-g",209.73,321.39,341.22,Poland
00000000-0000-0000-0000-000000000001,"11331","ETO","Spycharka gąsienicowa 40 kW (55 KM) (1)","m-g",91.99,103.72,114.9,Poland
00000000-0000-0000-0000-000000000001,"11332","ETO","Spycharka g¥sienicowa 48 kW [65 KM] (1)","m-g",77.5,105.83,117.08,Poland
00000000-0000-0000-0000-000000000001,"11333","ETO","Spycharka g¥sienicowa 55 kW [75 KM] (1)","m-g",83,123.48,138.14,Poland
00000000-0000-0000-0000-000000000001,"11335","ETO","Spycharka gasienicowa 110kW [150KM] (1)","m-g",96.88,191.99,243.13,Poland
